Ticker,Company,Sector,Industry,Market Cap,Year,Basic EPS,Free Cash Flow,P/E Ratio,Share Price
ABT,Abbott Laboratories,Healthcare,Medical Devices,222691721216,2023,3.300316,5059000000.0,32.0907427273039,105.90959167480469
ABT,Abbott Laboratories,Healthcare,Medical Devices,222691721216,2022,3.989538,7804000000.0,25.95997098171498,103.56829071044922
ABT,Abbott Laboratories,Healthcare,Medical Devices,222691721216,2021,4.008317,8648000000.0,32.575596810692694,130.5733184814453
AES,The AES Corporation,Utilities,Utilities - Diversified,10175187968,2024,2.38,-4640000000.0,5.159437355874967,12.279460906982422
AES,The AES Corporation,Utilities,Utilities - Diversified,10175187968,2023,0.37,-4690000000.0,47.679096943623314,17.641265869140625
AES,The AES Corporation,Utilities,Utilities - Diversified,10175187968,2022,-0.82,-1836000000.0,-31.12333111646699,25.52113151550293
AES,The AES Corporation,Utilities,Utilities - Diversified,10175187968,2021,-0.61,-214000000.0,-34.381303630891395,20.97259521484375
ADBE,Adobe Inc.,Technology,Software - Application,148222066688,2024,12.43,7873000000.0,41.50683770521169,515.9299926757812
ADBE,Adobe Inc.,Technology,Software - Application,148222066688,2023,11.87,6942000000.0,51.475148253211884,611.010009765625
ADBE,Adobe Inc.,Technology,Software - Application,148222066688,2022,10.13,7396000000.0,34.05034478536833,344.92999267578125
ADBE,Adobe Inc.,Technology,Software - Application,148222066688,2021,10.1,6882000000.0,66.32177976098392,669.8499755859375
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,373627289600,2024,1.01,2405000000.0,119.59406031240331,120.79000091552734
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,373627289600,2023,0.53,1121000000.0,278.1320823813384,147.41000366210938
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,373627289600,2022,0.85,3115000000.0,76.19999605066636,64.7699966430664
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,373627289600,2021,2.61,3220000000.0,55.13409727834651,143.89999389648438
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,41354203136,2024,4.44,1373000000.0,29.11295160516962,129.26150512695312
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,41354203136,2023,4.22,1474000000.0,24.13451750696553,101.84766387939453
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,41354203136,2022,4.19,1021000000.0,32.30459354373322,135.3562469482422
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,41354203136,2021,3.98,1297000000.0,38.46773693908998,153.10159301757812
AFL,Aflac Incorporated,Financial Services,Insurance - Life,57681575936,2024,9.68,2707000000.0,10.51080561866445,101.74459838867188
AFL,Aflac Incorporated,Financial Services,Insurance - Life,57681575936,2023,7.81,3190000000.0,10.170978345883183,79.43534088134766
AFL,Aflac Incorporated,Financial Services,Insurance - Life,57681575936,2022,6.96,3879000000.0,9.724634543232535,67.68345642089844
AFL,Aflac Incorporated,Financial Services,Insurance - Life,57681575936,2021,6.42,5051000000.0,8.339925867003444,53.54232406616211
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,78060044288,2024,4.19,4518000000.0,31.362769370431828,131.41000366210938
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,78060044288,2023,7.52,3884000000.0,18.103723323091547,136.13999938964844
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,78060044288,2022,2.97,3430000000.0,28.787878787878785,85.5
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,78060044288,2021,-0.57,2313000000.0,-292.0877289353756,166.49000549316406
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,10712333312,2024,3.34,833904000.0,28.637725007748177,95.6500015258789
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,10712333312,2023,3.59,618399000.0,32.966573391120086,118.3499984741211
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,10712333312,2022,3.29,816374000.0,25.62310123153733,84.30000305175781
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,10712333312,2021,4.01,859333000.0,29.187032647263678,117.04000091552734
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,56339451904,2024,17.21,-3150000000.0,16.77025501843042,288.6160888671875
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,56339451904,2023,10.35,-1420100000.0,26.001581016945956,269.1163635253906
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,56339451904,2022,10.16,303700000.0,21.245378208911326,215.85304260253906
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,56339451904,2021,9.47,877700000.0,24.462200998630543,231.65704345703125
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,10740920320,2024,-11.2,-983722000.0,-7.552204813276019,84.5846939086914
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,10740920320,2023,13.41,-823960000.0,10.425070948248742,139.80020141601562
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,10740920320,2022,22.97,646203000.0,9.056423454633421,208.0260467529297
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,10740920320,2021,1.07,-609410000.0,208.21725720557095,222.79246520996094
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,13276975104,2024,1.8,1504524000.0,51.66394975450304,92.99510955810547
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,13276975104,2023,0.54,1630550000.0,213.75752201786747,115.42906188964844
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,13276975104,2022,3.18,1294321000.0,39.936420752567315,126.99781799316406
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,13276975104,2021,3.83,1010197000.0,49.21513649564499,188.4939727783203
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,9827701760,2024,5.63,622651000.0,37.035523002990395,208.50999450683594
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,9827701760,2023,5.82,608060000.0,47.07903780068728,274.0
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,9827701760,2022,4.62,276832000.0,45.64934932824337,210.89999389648438
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,9827701760,2021,9.78,771446000.0,67.19631826950729,657.1799926757812
ALLE,Allegion plc,Industrials,Security & Protection Services,15066063872,2024,6.85,582900000.0,18.929652750057027,129.66812133789062
ALLE,Allegion plc,Industrials,Security & Protection Services,15066063872,2023,6.15,516400000.0,20.146249910680257,123.8994369506836
ALLE,Allegion plc,Industrials,Security & Protection Services,15066063872,2022,5.2,395500000.0,19.479733980618988,101.29461669921875
ALLE,Allegion plc,Industrials,Security & Protection Services,15066063872,2021,5.37,443200000.0,23.36210396480738,125.45449829101562
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,17623592960,2024,2.69,1167000000.0,21.44929538429005,57.698604583740234
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,17623592960,2023,2.78,867000000.0,17.3625273670224,48.267826080322266
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,17623592960,2022,2.73,486000000.0,18.386168706984748,50.19424057006836
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,17623592960,2021,2.63,582000000.0,20.618869505907647,54.22762680053711
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,51328200704,2024,17.22,8721000000.0,11.03197600644917,189.9706268310547
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,51328200704,2023,-1.2,3961000000.0,-112.58909861246745,135.10691833496094
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,51328200704,2022,-5.22,4701000000.0,-24.332673522247667,127.01655578613281
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,51328200704,2021,5.04,4771000000.0,21.289778512621684,107.30048370361328
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3048500101120,2024,8.13,72764000000.0,23.208469892926466,188.6848602294922
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3048500101120,2023,5.84,69495000000.0,23.75567710562928,138.733154296875
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3048500101120,2022,4.59,60010000000.0,19.090555228439033,87.62564849853516
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3048500101120,2021,5.694,67012000000.0,25.265156699349095,143.85980224609375
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,3048500101120,2024,8.13,72764000000.0,23.348740018161898,189.82525634765625
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,3048500101120,2023,5.84,69495000000.0,23.967829142531304,139.9721221923828
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,3048500101120,2022,4.59,60010000000.0,19.19976527394812,88.12692260742188
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,3048500101120,2021,5.694,67012000000.0,25.23641582953959,143.69615173339844
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2324417478656,2024,5.66,32878000000.0,38.761483991103965,219.38999938964844
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2324417478656,2023,2.95,32217000000.0,51.505085573358045,151.94000244140625
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2324417478656,2022,-0.27,-16893000000.0,-311.1111111111111,84.0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2324417478656,2021,3.298,-14726000000.0,50.5509385200903,166.7169952392578
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,18790049792,2025,0.321,810000000.0,28.62928218187944,9.1899995803833
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,18790049792,2024,0.505,829000000.0,18.41847825758528,9.301331520080566
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,18790049792,2023,0.709,735000000.0,12.699335687419424,9.003829002380371
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,18790049792,2022,0.532,999000000.0,20.182935815108447,10.737321853637695
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,28495796224,2024,4.43,-1647000000.0,19.689281799454186,87.22351837158203
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,28495796224,2023,4.39,-1207000000.0,15.58741437003933,68.42874908447266
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,28495796224,2022,4.16,-1117000000.0,19.597581716684193,81.52593994140625
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,28495796224,2021,3.86,-1862000000.0,20.59706653338022,79.50467681884766
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,108235374592,2024,6.54,8611000000.0,7.5972303338007094,49.68588638305664
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,108235374592,2023,4.61025,9091000000.0,7.656632971527015,35.29899215698242
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,108235374592,2022,3.19,8051000000.0,11.490341712688577,36.65419006347656
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,108235374592,2021,1.34,8236000000.0,26.207903961637125,35.11859130859375
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,62715379712,2024,5.6,-966300000.0,16.04050091334752,89.8268051147461
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,62715379712,2023,4.26,-2494300000.0,17.84217547922627,76.0076675415039
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,62715379712,2022,4.51,-1484400000.0,18.93106194134562,85.37908935546875
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,62715379712,2021,4.97,-1924200000.0,15.563360018509496,77.34989929199219
AXP,American Express Company,Financial Services,Credit Services,242475778048,2024,14.04,12139000000.0,20.9135984763121,293.6269226074219
AXP,American Express Company,Financial Services,Credit Services,242475778048,2023,11.23,16996000000.0,16.309027192004535,183.15037536621094
AXP,American Express Company,Financial Services,Credit Services,242475778048,2022,9.86,19224000000.0,14.43616236441034,142.34056091308594
AXP,American Express Company,Financial Services,Credit Services,242475778048,2021,10.04,13095000000.0,15.49723347819659,155.59222412109375
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,43733065728,2024,2.352516,3273000000.0,30.456202860600563,71.6487045288086
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,43733065728,2023,5.02,6243000000.0,13.004508151476127,65.28263092041016
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,43733065728,2022,13.1,4134000000.0,4.539054987084775,59.46162033081055
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,43733065728,2021,12.1,6223000000.0,4.319591995113152,52.26706314086914
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,28041515008,2024,5.39,-963000000.0,22.687073320095084,122.2833251953125
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,28041515008,2023,4.9,-860000000.0,25.869793016083385,126.7619857788086
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,28041515008,2022,4.51,-1312000000.0,31.823551152603592,143.5242156982422
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,28041515008,2021,6.96,-432000000.0,25.11487500420932,174.79953002929688
AMT,American Tower Corporation,Real Estate,REIT - Specialty,89524953088,2024,4.83,3700500000.0,37.04256488176113,178.91558837890625
AMT,American Tower Corporation,Real Estate,REIT - Specialty,89524953088,2023,3.18,2924300000.0,64.0541172627383,203.6920928955078
AMT,American Tower Corporation,Real Estate,REIT - Specialty,89524953088,2022,3.83,1822600000.0,50.4724248582327,193.30938720703125
AMT,American Tower Corporation,Real Estate,REIT - Specialty,89524953088,2021,5.69,3443200000.0,45.705243531346106,260.0628356933594
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,44566884352,2024,33.67,6419000000.0,15.667510705352502,527.5250854492188
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,44566884352,2023,24.18,4501000000.0,15.353175211386606,371.2397766113281
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,44566884352,2022,28.29,4225000000.0,10.583854235706081,299.417236328125
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,44566884352,2021,29.13,3205000000.0,9.791484797406024,285.2259521484375
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,42712625152,2024,5.95,1701773000.0,30.140116715631564,179.3336944580078
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,42712625152,2023,5.7,1599047000.0,28.599176239549067,163.0153045654297
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,42712625152,2022,5.04,1010368000.0,27.224307590060764,137.21051025390625
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,42712625152,2021,4.29,1049786000.0,33.43122077710701,143.41993713378906
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,159344345088,2024,7.62,10394000000.0,33.362721520771814,254.22393798828125
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,159344345088,2023,12.56,7359000000.0,21.711011752960786,272.6903076171875
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,159344345088,2022,12.18,8785000000.0,19.73163874082769,240.33135986328125
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,159344345088,2021,10.34,8381000000.0,19.29960269300804,199.55789184570312
APH,Amphenol Corporation,Technology,Electronic Components,157413343232,2024,2.01,2149300000.0,34.35446516198306,69.05247497558594
APH,Amphenol Corporation,Technology,Electronic Components,157413343232,2023,1.615,2155900000.0,30.25917549251403,48.868568420410156
APH,Amphenol Corporation,Technology,Electronic Components,157413343232,2022,1.595,1790800000.0,23.299324250893907,37.16242218017578
APH,Amphenol Corporation,Technology,Electronic Components,157413343232,2021,1.33,1179700000.0,31.735986695253757,42.2088623046875
ADI,"Analog Devices, Inc.",Technology,Semiconductors,118246408192,2024,3.3,3122066000.0,66.46570379083808,219.33682250976562
ADI,"Analog Devices, Inc.",Technology,Semiconductors,118246408192,2023,6.6,3556171000.0,23.032876217004027,152.01698303222656
ADI,"Analog Devices, Inc.",Technology,Semiconductors,118246408192,2022,5.29,3776094000.0,25.56965761238776,135.26348876953125
ADI,"Analog Devices, Inc.",Technology,Semiconductors,118246408192,2021,3.5,2391393000.0,46.16679164341518,161.58377075195312
AON,Aon plc,Financial Services,Insurance Brokers,73981485056,2024,12.55,2817000000.0,28.446545847858562,357.004150390625
AON,Aon plc,Financial Services,Insurance Brokers,73981485056,2023,12.6,3183000000.0,22.766977945963543,286.8639221191406
AON,Aon plc,Financial Services,Insurance Brokers,73981485056,2022,12.23,3023000000.0,24.00927414975981,293.6334228515625
AON,Aon plc,Financial Services,Insurance Brokers,73981485056,2021,5.59,2045000000.0,52.208550031795056,291.8457946777344
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,72378548224,2024,7.39,3253000000.0,22.125382481473064,163.50657653808594
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,72378548224,2023,8.53,6322000000.0,10.656491421591076,90.89987182617188
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,72378548224,2022,-3.43,3789000000.0,-17.734163912670258,60.828182220458984
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,72378548224,2021,7.32,1064000000.0,9.191095112451439,67.27881622314453
APA,APA Corporation,Energy,Oil & Gas E&P,8189731840,2024,2.28,709000000.0,9.618550852725381,21.930295944213867
APA,APA Corporation,Energy,Oil & Gas E&P,8189731840,2023,9.26,772000000.0,3.5579269442136034,32.94640350341797
APA,APA Corporation,Energy,Oil & Gas E&P,8189731840,2022,11.05,2545000000.0,3.7855239799119764,41.830039978027344
APA,APA Corporation,Energy,Oil & Gas E&P,8189731840,2021,2.6,2386000000.0,9.11835450392503,23.707721710205078
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,175707455488,2024,8.68,7487000000.0,20.703933645503312,179.71014404296875
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,175707455488,2023,8.16,7594000000.0,15.931193033854166,129.99853515625
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,175707455488,2022,7.49,4612000000.0,11.46867800459206,85.90039825439453
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,175707455488,2021,6.47,4774000000.0,20.376813319588003,131.83798217773438
APP,AppLovin Corporation,Communication Services,Advertising Agencies,191050317824,2024,4.68,2094235000.0,69.19444157527043,323.8299865722656
APP,AppLovin Corporation,Communication Services,Advertising Agencies,191050317824,2023,1.01,1057264000.0,39.45544403378326,39.849998474121094
APP,AppLovin Corporation,Communication Services,Advertising Agencies,191050317824,2022,-0.52,412111000.0,-20.24999948648306,10.529999732971191
APP,AppLovin Corporation,Communication Services,Advertising Agencies,191050317824,2021,0.1,360461000.0,942.6000213623047,94.26000213623047
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,32798597120,2024,11.47,6622000000.0,8.05143840227734,92.3499984741211
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,32798597120,2023,11.94,5697000000.0,5.914843381948807,70.62322998046875
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,32798597120,2022,3.9,3766000000.0,15.307027376615084,59.69740676879883
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,32798597120,2021,5.34,3384000000.0,7.91525108537424,42.26744079589844
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,18396348416,2024,6.97,1616000000.0,8.677187882673792,60.47999954223633
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,18396348416,2023,10.5,990000000.0,8.544762021019345,89.72000122070312
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,18396348416,2022,1.96,419000000.0,47.51530472113162,93.12999725341797
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,18396348416,2021,1.95,611000000.0,84.58974202473958,164.9499969482422
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,29745555456,2024,3.76569,1227000000.0,13.020852377999407,49.032493591308594
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,29745555456,2023,6.44,2966000000.0,10.505023506117162,67.65235137939453
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,29745555456,2022,7.934186,2159000000.0,10.71435741358266,85.00970458984375
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,29745555456,2021,4.8375,5426000000.0,12.554001919058866,60.729984283447266
ANET,Arista Networks Inc,Technology,Computer Hardware,184243896320,2024,2.27,3676203000.0,48.691629418192456,110.52999877929688
ANET,Arista Networks Inc,Technology,Computer Hardware,184243896320,2023,1.6875,1999580000.0,34.89036955656829,58.877498626708984
ANET,Arista Networks Inc,Technology,Computer Hardware,184243896320,2022,1.1025,448169000.0,27.5170064567168,30.337499618530273
ANET,Arista Networks Inc,Technology,Computer Hardware,184243896320,2021,0.685,951120000.0,52.46350364963503,35.9375
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,72560984064,2024,6.6335,2441000000.0,42.531649583140975,282.1336975097656
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,72560984064,2023,4.510687,1838100000.0,49.117113570323035,221.5519256591797
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,72560984064,2022,5.297365,1207300000.0,34.70470806889369,183.843505859375
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,72560984064,2021,4.474026,1263800000.0,36.54572995787414,163.5065460205078
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,10605012992,2024,14.55,1111400000.0,14.488456175499355,210.80703735351562
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,10605012992,2023,12.02,935600000.0,13.643332686083092,163.99285888671875
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,10605012992,2022,5.09,410600000.0,23.4290806858385,119.25402069091797
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,10605012992,2021,10.29,594300000.0,14.191744464247753,146.03305053710938
T,AT&T Inc.,Communication Services,Telecom Services,181634957312,2024,1.49,18508000000.0,14.626657882792838,21.793720245361328
T,AT&T Inc.,Communication Services,Telecom Services,181634957312,2023,1.97,20461000000.0,7.6771513459646155,15.123988151550293
T,AT&T Inc.,Communication Services,Telecom Services,181634957312,2022,-1.13,12397000000.0,-13.75985018974912,15.548630714416504
T,AT&T Inc.,Communication Services,Telecom Services,181634957312,2021,2.77,26413000000.0,5.272193936234347,14.60397720336914
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,28428724224,2024,6.83,-1203378000.0,19.859964083089313,135.6435546875
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,28428724224,2023,6.1,653770000.0,16.52078972488153,100.77681732177734
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,28428724224,2022,5.61,-1466836000.0,16.83928681779885,94.46839904785156
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,28428724224,2021,5.12,-3053791000.0,15.575554966926575,79.74684143066406
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,115025166336,2025,10.02,4392700000.0,30.619403892410492,306.8064270019531
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,115025166336,2024,9.14,3594200000.0,25.452566668554258,232.63645935058594
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,115025166336,2023,8.25,3636000000.0,25.386759440104168,209.44076538085938
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,115025166336,2022,7.04,2546100000.0,27.851145917719062,196.0720672607422
ADSK,"Autodesk, Inc.",Technology,Software - Application,65635950592,2025,5.17,1505000000.0,60.2205021930156,311.3399963378906
ADSK,"Autodesk, Inc.",Technology,Software - Application,65635950592,2024,4.23,1252000000.0,60.00236348902925,253.80999755859375
ADSK,"Autodesk, Inc.",Technology,Software - Application,65635950592,2023,3.81,2025000000.0,56.472441906065455,215.16000366210938
ADSK,"Autodesk, Inc.",Technology,Software - Application,65635950592,2022,2.26,1464000000.0,110.5265457018287,249.7899932861328
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,66614337536,2025,148.8,,28.21592597551243,4198.52978515625
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,66614337536,2024,153.82,1931420000.0,20.683136006167924,3181.47998046875
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,66614337536,2023,136.6,2144131000.0,18.53096689696193,2531.330078125
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,66614337536,2022,120.83,2538744000.0,17.538773160121657,2119.2099609375
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,66614337536,2021,,2896776000.0,,1549.1500244140625
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,26955954176,2024,7.61,1409852000.0,28.16609446541865,214.34397888183594
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,26955954176,2023,6.56,1362755000.0,26.905078422732473,176.497314453125
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,26955954176,2022,8.13,1247227000.0,18.040699037971823,146.67088317871094
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,26955954176,2021,7.19,1049935000.0,30.872795943258865,221.97540283203125
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,55038681088,2024,4.98,329527000.0,119.34136693257403,594.3200073242188
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,55038681088,2023,2.35,129628000.0,109.92765386053856,258.3299865722656
